building_id,building_type,nb_houses,infrastructure_id,infrastructure_type,cost,time,priority_score,efficiency
230,habitation,1,0,aérien,50.0,0.0,10,0.02
231,habitation,1,0,aérien,50.0,0.0,10,0.02
232,habitation,1,0,aérien,50.0,0.0,10,0.02
233,habitation,1,0,aérien,50.0,0.0,10,0.02
234,habitation,1,0,aérien,50.0,0.0,10,0.02
235,habitation,1,0,aérien,50.0,0.0,10,0.02
236,habitation,1,0,aérien,50.0,0.0,10,0.02
237,habitation,1,0,aérien,50.0,0.0,10,0.02
238,habitation,1,0,aérien,50.0,0.0,10,0.02
239,habitation,1,0,aérien,50.0,0.0,10,0.02
240,habitation,1,0,aérien,50.0,0.0,10,0.02
241,habitation,1,0,aérien,50.0,0.0,10,0.02
242,habitation,1,0,aérien,50.0,0.0,10,0.02
243,habitation,1,0,aérien,50.0,0.0,10,0.02
244,habitation,1,0,aérien,50.0,0.0,10,0.02
245,habitation,1,0,aérien,50.0,0.0,10,0.02
246,habitation,1,0,aérien,50.0,0.0,10,0.02
247,habitation,1,0,aérien,50.0,0.0,10,0.02
248,habitation,1,0,aérien,50.0,0.0,10,0.02
249,habitation,1,0,aérien,50.0,0.0,10,0.02
250,habitation,1,0,aérien,50.0,0.0,10,0.02
251,habitation,1,0,aérien,50.0,0.0,10,0.02
252,habitation,1,0,aérien,50.0,0.0,10,0.02
253,habitation,1,0,aérien,50.0,0.0,10,0.02
254,habitation,1,0,aérien,50.0,0.0,10,0.02
255,habitation,1,0,aérien,50.0,0.0,10,0.02
256,habitation,1,0,aérien,50.0,0.0,10,0.02
257,habitation,1,0,aérien,50.0,0.0,10,0.02
258,habitation,1,0,aérien,50.0,0.0,10,0.02
259,habitation,1,0,aérien,50.0,0.0,10,0.02
260,habitation,1,0,aérien,50.0,0.0,10,0.02
261,habitation,1,0,aérien,50.0,0.0,10,0.02
262,habitation,1,0,aérien,50.0,0.0,10,0.02
263,habitation,1,0,aérien,50.0,0.0,10,0.02
264,habitation,1,0,aérien,50.0,0.0,10,0.02
265,habitation,1,0,aérien,50.0,0.0,10,0.02
266,habitation,1,0,aérien,50.0,0.0,10,0.02
267,habitation,1,0,aérien,50.0,0.0,10,0.02
268,habitation,1,0,aérien,50.0,0.0,10,0.02
269,habitation,1,0,aérien,50.0,0.0,10,0.02
270,habitation,1,0,aérien,50.0,0.0,10,0.02
271,habitation,1,0,aérien,50.0,0.0,10,0.02
272,habitation,1,0,aérien,50.0,0.0,10,0.02
273,habitation,1,0,aérien,50.0,0.0,10,0.02
274,habitation,1,0,aérien,50.0,0.0,10,0.02
275,habitation,1,0,aérien,50.0,0.0,10,0.02
276,habitation,1,0,aérien,50.0,0.0,10,0.02
277,habitation,1,0,aérien,50.0,0.0,10,0.02
278,habitation,1,0,aérien,50.0,0.0,10,0.02
279,habitation,1,0,aérien,50.0,0.0,10,0.02
280,habitation,1,0,aérien,50.0,0.0,10,0.02
